O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
1,739,O,162079.26,1996-01-02,5-LOW,"Clerk#000000951",0,ly express platelets. deposits acc
2,1561,O,40942.18,1996-12-01,1-URGENT,"Clerk#000000880",0,ve the furiously fluffy dependencies. carefully regular 
3,2467,F,210702.46,1993-10-14,5-LOW,"Clerk#000000955",0, after the asymptotes. instructions cajole after the foxes. carefully unu
4,2737,O,52257.21,1995-10-11,5-LOW,"Clerk#000000124",0,st the furiously bold pinto beans. furiously pending theodolites cajol
5,890,F,130758.06,1994-07-30,5-LOW,"Clerk#000000925",0,onic requests. carefully daring foxes among the carefu
6,1114,F,59456.43,1992-02-21,4-NOT SPECIFIED,"Clerk#000000058",0,furiously ironic accounts haggle blithely carefully regular de
7,784,O,235259.78,1996-01-10,2-HIGH,"Clerk#000000470",0,", ironic packages wa"
32,2602,O,188480.67,1995-07-16,2-HIGH,"Clerk#000000616",0,"ly about the carefully express theodolites. ironic, iron"
33,1340,F,136746.55,1993-10-27,3-MEDIUM,"Clerk#000000409",0," careful, regular courts. unusual"
34,1222,O,67568.69,1998-07-21,3-MEDIUM,"Clerk#000000223",0,osits according to the ideas are furiously final requests? slyly pe
35,2552,O,194627.11,1995-10-23,4-NOT SPECIFIED,"Clerk#000000259",0,ing dugouts alongside of the silently ironi
36,2306,O,49624.46,1995-11-03,1-URGENT,"Clerk#000000358",0,kages sleep after the furiously regular accounts. slyly eve
37,1723,F,156250.80,1992-06-03,3-MEDIUM,"Clerk#000000456",0,aggle carefully. fluffily ironic packages integrate slyly blit
38,2497,O,61202.38,1996-08-21,4-NOT SPECIFIED,"Clerk#000000604",0,counts. blithely express packages cajole fluffily. fluffily regular courts na
39,1636,O,293980.52,1996-09-20,3-MEDIUM,"Clerk#000000659",0,accounts since the pending dugou
64,643,F,33000.37,1994-07-16,3-MEDIUM,"Clerk#000000661",0,lly according to the pending dinos. carefully bold depths det
65,326,P,79267.83,1995-03-18,1-URGENT,"Clerk#000000632",0,"ounts sleep against the regular foxes. deposits nag express, express foxes. f"
66,2584,F,98197.39,1994-01-20,5-LOW,"Clerk#000000743",0, regular ideas. evenly unusu
67,1133,O,182010.54,1996-12-19,4-NOT SPECIFIED,"Clerk#000000547",0," furiously ironic foxes play across the even, si"
68,571,O,317702.84,1998-04-18,3-MEDIUM,"Clerk#000000440",0,ess packages. ironically final accounts nag. special instructions haggle acc
69,1690,F,220972.88,1994-06-04,4-NOT SPECIFIED,"Clerk#000000330",0,ions haggle carefully about the quickly bold theodolites-- furiously final f
70,1288,F,132127.22,1993-12-18,5-LOW,"Clerk#000000322",0,ly ironic deposits mainta
71,68,O,265736.97,1998-01-24,4-NOT SPECIFIED,"Clerk#000000271",0,uffily quiet instructions! unusual request
96,2156,F,80647.02,1994-04-17,2-HIGH,"Clerk#000000395",0,excuses boost boldly 
97,422,F,117971.08,1993-01-29,3-MEDIUM,"Clerk#000000547",0,structions. doggedly even dependencies are along the furiously busy hock
98,2090,F,85961.79,1994-09-25,1-URGENT,"Clerk#000000448",0,s x-ray slyly. blithely regular deposits detect slyly unusua
99,1780,F,125763.05,1994-03-13,4-NOT SPECIFIED,"Clerk#000000973",0,against the bold pinto beans are bli
100,2941,O,202273.05,1998-02-28,4-NOT SPECIFIED,"Clerk#000000577",0,phins against the blithely regular requests 
101,560,O,117719.91,1996-03-17,3-MEDIUM,"Clerk#000000419",0,e slyly after the packages. carefully express
102,16,O,159904.91,1997-05-09,2-HIGH,"Clerk#000000596",0,ld deposits. carefully special deposits along the requests boost carefully iro
103,583,O,139044.20,1996-06-20,4-NOT SPECIFIED,"Clerk#000000090",0,fully unusual foxes. deposits wake slyly among the furiously
128,1480,F,37488.89,1992-06-15,1-URGENT,"Clerk#000000385",0,uriously unusual attainments sleep. furiously even attainments sublate slyly a
129,1423,F,277559.58,1992-11-19,5-LOW,"Clerk#000000859",0,r theodolites. regular platelets believe furiously bold foxes. final the
130,740,F,139620.29,1992-05-08,2-HIGH,"Clerk#000000036",0,riously final theodolites sleep carefully ironic instruc
131,1855,F,149540.22,1994-06-08,3-MEDIUM,"Clerk#000000625",0, place of the ironic accounts are even packa
132,529,F,160662.47,1993-06-11,3-MEDIUM,"Clerk#000000488",0,"posits. bold pains wake quickly regular requests. unusual, quick ideas be"
133,880,O,97922.05,1997-11-29,1-URGENT,"Clerk#000000738",0,yly even requests. car
134,124,F,220835.91,1992-05-01,4-NOT SPECIFIED,"Clerk#000000711",0,r platelets. account
135,1210,O,218509.95,1995-10-21,4-NOT SPECIFIED,"Clerk#000000804",0,y pending forges detect bli
160,1651,O,123770.99,1996-12-19,4-NOT SPECIFIED,"Clerk#000000342",0, express instructions thrash regular re
161,334,F,18220.12,1994-08-31,2-HIGH,"Clerk#000000322",0,ely even courts after the pinto bea
162,283,O,3345.07,1995-05-08,3-MEDIUM,"Clerk#000000378",0,excuses haggle. carefully final requests cajole furiously furiousl
163,1756,O,177695.58,1997-09-05,3-MEDIUM,"Clerk#000000379",0,s wake furiously. excuses use carefully carefully re
164,16,F,290505.84,1992-10-21,5-LOW,"Clerk#000000209",0,ests. quickly final accounts engage according to the special theodolites. spec
