PS_PARTKEY,PS_SUPPKEY,PS_AVAILQTY,PS_SUPPLYCOST,PS_COMMENT
1,2,3325,771.64,blithely regular theodolites sleep slyly across the sometimes bold dependencies. even accounts among the slyly final sauternes cajole quickly about the doggedly even platelets. carefully final
1,52,8076,993.49,"ts boost carefully ironic, regular accounts. final theodolites cajole slyly. final"
1,102,3956,337.09, fluffily regular multipliers? sheaves integrate slyly ideas. furiously special deposits cajole slyly against the slyly regular pinto beans. blithely pending instructions detect 
1,152,4069,357.84,"press deposits. special courts about the slyly final accounts haggle blithely foxes. carefully unusual sauternes integrate fluffily. pending, pending foxes"
2,3,8895,378.49,sits. furiously regular packages boost blithely? requests affix slyly even packages. slyly express acco
2,53,4969,915.27,deposits doze. slyly express pinto beans haggle blithely against the furiously unusual ideas. furiously regular accounts across the platelets nag carefully acro
2,103,8539,438.37,"s. furiously final dependencies boost slyly slyly regular accounts. final deposits sleep blithely. furiously final deposits mold slyly requests. special, close requests impress carefully unusual"
2,153,3025,306.39,"ecial accounts cajole carefully bold deposits. even, regular foxes above the final d"
3,4,4651,920.92, silent accounts. slyly ironic pinto beans wake above the furiously express dependencies. slyly unusual accounts cajole af
3,54,4093,498.13,"cross the furiously special theodolites. regular, ironic ideas around the furiously express accounts haggle according to the furiously silent pains. carefully bold deposits sleep slyl"
3,104,3917,645.40,regular theodolites boost. special theodolites haggle along the furiously ironic accounts! slyly special packag
3,154,9942,191.92,to beans. foxes use. slyly regular theodolites sleep slyly silent packages. unusual instructions use carefully foxes. carefu
4,5,1339,113.97,"lar theodolites wake furiously. carefully final theodolites are grouches. even, brave requests was furiously above the final, unusual accounts. silent acco"
4,55,6377,591.18,"e closely silent pinto beans. packages integrate alongside of the slyly express ideas. special, final platelets affix carefully silent pinto beans. slyly"
4,105,2694,51.37,"in carefully across the carefully brave theodolites. pending, express platelets haggle furiously among the slyly special foxes. packages"
4,155,2480,444.37,es. furiously brave excuses sleep. carefully regular theodolites along the silent exc
5,6,3735,255.88,"nt, even theodolites. blithely pending deposits alongside of the spec"
5,56,9653,50.52,osits around the pinto beans sleep carefully ironic instruct
5,106,1329,219.83," regular asymptotes. blithely even requests cajole ironic accounts. unusual, final packages cajole carefully regular packag"
5,156,6925,537.98, accounts wake! regular forges haggle carefully. carefully regular accounts affix quickly across the fluffily final patterns. packages cajole furiously final foxes. carefully silent excu
6,7,8851,130.72, theodolites cajole carefully fluffily ironic dependencies. busily ironic dolphins doubt carefully pendin
6,57,1627,424.25,dolites haggle carefully. close dependencies play carefully above the slyly final platelets. thinly ironic asymptotes of the foxes believe slyly ir
6,107,3336,642.13,"cuses. regular requests alongside of the quickly busy platelets cajole fluffily final, ironi"
6,157,6451,175.32,inal ideas. unusual pinto beans cajole fluffily. fluffily even packages nag quickly. quickly final instructions dazzle against the carefully regular deposit
7,8,7454,763.98, wake blithely pending accounts. express pinto beans nag closely. evenly sly platelets along the even depo
7,58,2770,149.66,dinos haggle quickly: fluffily regular instructions wake ironic pac
7,108,3377,68.77,ld accounts use blithely among the ironic pinto beans. slyly bold deposits are slyly blithely even requests. slyly ironic asymptotes across the slyly regu
7,158,9460,299.58,sly across the even dependencies. quickly pending deposits across the theodolites boost around the regular packages? blithely final theodolites 
8,9,6834,249.63,ar theodolites: carefully regular deposits haggle slyly. blithely regular packages are blithely i
8,59,396,957.34,"e regular, even somas. daringly special accounts sleep blithely theodolit"
8,109,9845,220.62,efully special deposits are carefully according to the quickly even 
8,159,8126,916.91,"uickly unusual foxes use carefully-- blithely final packages detect carefully around the carefully express ideas. final, regular e"
9,10,7054,84.20,fily final deposits at the regular packages run never along the quickly speci
9,60,7542,811.84,thely unusual accounts boost quickly slow pains. slyly special packages across the slyly final packages cajole carefully about the regular asymptotes. pending theodolites cajole blithely carefully e
9,110,9583,381.31,onic instructions are. ironic pinto beans across the regular deposits haggle abo
9,160,3063,291.84,"bold pinto beans. slyly regular sauternes detect furiously unusual accounts. slyly ironic instructions along the regular, express ideas haggle slyly across the carefull"
10,11,2952,996.12,"ze at the packages. final, even deposits wake. express requests sle"
10,61,3335,673.27,"unusual, unusual packages integrate unusual, ironic theodolites. express, regular requests grow quickly. slyly express deposits along the quickly regular pinto bea"
10,111,5691,164.00, regular accounts. always unusual requests haggle furiously. blithely unusual packages are slyly along the slyly bold deposits. furiously regular ideas sleep quickly about the quickl
10,161,841,374.02,ly pending dependencies cajole blithely-- packages cajole. regular ideas integrate slyly final reque
11,12,4540,709.87," platelets. furiously even deposits doubt. silent, even requests cajole after the evenly ironic packages. regular deposits cajole about the carefully iro"
11,62,4729,894.90,"e slyly! furiously ironic requests above the express dolphins boost slyly about the special instructions. orbits beside the silent, express accounts print car"
11,112,3708,818.74,eans wake boldly above the unusual tithes. regular packages affix above the slyly special foxes. final dependencies dazzl
11,162,3213,471.98,"theodolites cajole after the accounts. furiously unusual ideas nag final deposits. silent instructions integrate furiously among the pending, express instructions. "
12,13,3610,659.73,"jole dolphins. deposits cajole. slyly ironic foxes wake fluffily ironic packages. unusual, bold ideas for the bold instructions are from the final asymptotes. daringly"
12,63,7606,332.81,y fluffily special accounts. carefully final deposits alongside of the quickly even packages affix carefully about the ironic theodolites. express e
12,113,824,337.06, bold theodolites wake slyly final courts. fluffily regular pains boost sometimes special ideas. furiously ironic dependencies caj
12,163,5454,901.70,"accounts. special, ironic accounts shall sleep carefully deposits. ironic, final packages grow carefully? accounts along the ironic deposits nod slyly against the requests. final foxe"
13,14,612,169.44,"side of the even, ironic accounts. asymptotes are regular, pending ideas. bold pinto beans cajole furiously regular, even somas. unusual theodolites above the dogged deposits haggle slyly"
13,64,7268,862.70,totes x-ray about the blithely special courts. special theodolites haggle qui
13,114,864,38.64,"r ideas. courts play. final, bold packages sleep final, regular accounts; express packages wake fluffily. quickly pending as"
13,164,9736,327.18,"uriously close packages integrate blithely. carefully regular pinto beans wake furiously. accounts haggle fluffily along the final, silent ideas:"
14,15,5278,650.07,ly. slyly final deposits along the blithely express foxes try to detect ruthlessl
14,65,5334,889.50,"yly along the foxes. carefully ironic multipliers detect quickly. fluffy, regular packages according to the even deposits are carefully above "
14,115,3676,893.39,"pinto beans. furiously final accounts cajole pending, regular instructions; regular, regular packages among the care"
14,165,4947,310.13,fily according to the express requests. bold deposits cajole. fluffily ironi
15,16,7047,835.70,lar deposits engage furiously above the silently final packages. slyly final dependencies wake ideas. slyly express id
15,66,3336,784.55,ter the fluffily final Tiresias haggle blithely blithely quiet requests. quickly u
15,116,3316,265.89,"sleep carefully around the blithely ironic warthogs. permanent, brave foxes cajole alongside of the ironic theo"
15,166,5255,458.67,"quietly along the furiously ruthless instructions. ironic, regular dugouts snooze. furiously"
16,17,5282,709.16," slyly regular requests wake about the stealthy, pending r"
16,67,9412,887.53,t deposits. sometimes unusual requests about the furiously 
16,117,854,781.91,ng pinto beans boost furiously bold ideas? bold requests arou
16,167,1491,918.51,"the blithely ironic packages wake instructions. final, pending theodolites breach ironic packages. idle idea"
17,18,8555,995.35,"c ideas. accounts about the slyly special instructions detect against the slyly bold ideas. special, regular in"
17,68,7737,648.75,e blithely unusual ideas. regular deposits above the blithely final pinto beans 
17,118,3123,555.04,"lyly bold packages. even, ironic accounts might use slyly. quietly regular packages use carefully slyly furious attainments. bold, even ideas sleep above"
17,168,3203,64.40,thout the furiously regular requests. quickly final accounts cajole against the ironic accounts. slyly special pinto beans impress furiously! final accounts dou
18,19,1125,664.17,ross the furiously final packages. brave theodolites hag
18,69,8132,52.44,"nal pinto beans; fluffily express theodolites haggle ironic excuses. idly regular accounts sleep final, silent accounts. carefully final requests wake. even, quiet th"
18,119,3133,568.61,posits are about the slyly pending dependencies. fluffily bold theodolites boost across the ironic packages. slyly pending foxes sleep. blithely express pa
18,169,6475,386.29,ets use pending foxes. regular theodolites haggle carefully 
19,20,1416,144.80,arefully final asymptotes along the slyly ironic theodolites maintain slyly ironic packages. idly express deposits haggle slyly. blithely special frets pr
19,70,5467,405.70,"ter the dinos mold ruthlessly furiously bold accounts. even packages mold furiously regular, ironic escapades. furiously bold requests about the carefully un"
19,120,8800,635.66,ely quiet requests are carefully even excuses. quickly final excuses about the packages haggle furiously to the packages! carefu
19,170,1340,346.92, requests are across the quickly final instructions-- furiously regular packages cajole carefully. enticing requests wake slyly across the slyly special courts. slyly final packages
20,21,2927,675.54,"c packages boost slyly according to the quickly unusual pinto beans. pinto beans wake furiously across the quickly even accounts. regular, final request"
20,71,2723,305.84,nstructions sleep furiously alongside of the quickly close instructions. carefully regular theodolites boost regularly above the blithely thin requests. deposits wake furiously express pin
20,121,5905,546.66,ven pains across the slyly ironic instructions integra
20,171,4271,115.89,oost blithely along the furiously bold platelets. regular instruc
21,22,6571,944.44,osits are. even forges cajole slyly furiously express theodolites? blithely dogged packages boost. deposits wake fluffily slyly express theodolites: quickly final requests around the platelets wake 
21,72,1704,139.05,instructions promise blithely. slyly ironic requests wake furiously blithely even requests. blithely regular accounts haggle around the slyly bold foxes. slyly unusual asymptotes
21,122,7153,664.50,ffily. carefully bold theodolites across the requests nag after the slyly unusual foxes. closely regular depende
21,172,367,584.86, carefully final courts according to the blithely even pinto beans thrash carefully along the quickly ironic 
22,23,4410,786.18,s. furiously regular ideas are quickly. express requests must have to sleep thinly. deposits integrate furiously silent deposits
22,73,9779,635.84, express packages sleep carefully around the daringly ironic theodolites. bold ideas detect along the quickly express packages. slyly silent packages are fluffily. quickly ironi
22,123,7834,359.16,"ng the fluffily express instructions sleep furiously across the even, regular deposits. ironic pinto beans breach carefully. quickly even theodolites are fluffily-- fluffily iron"
22,173,1434,597.21,ending ideas sublate furiously about the foxes. furiously ironic dinos might wake blithely regular ideas. 
23,24,2739,460.12,r requests cajole blithely. slyly final theodolites haggle furiously asymptotes. carefully ironic deposits are carefully. slyly even epitaphs along the requests
23,74,5739,103.13,y even packages. bold attainments wake fluffily after the carefully regular pinto beans! unusual foxes cajole quickly final foxes! quickly even packages affix carefully. slyly special r
23,124,9898,233.94,lly carefully bold deposits. even ideas mold quickly along the quickly final accounts. ev
23,174,7035,51.75,"ccording to the even, bold requests integrate about the furiously bold gift"
24,25,5180,905.41,al attainments. blithely silent requests haggle. final asymptotes impress blithely. carefully stealt
24,75,2227,511.20,"gle quickly. final, ironic requests nag ironic, ironic foxes: blithely pending ideas about the carefully even pinto beans snooze slyly after the silent, regular pinto beans. express foxe"
24,125,7182,582.03,"ets. special, permanent grouches nag blithely furiously final grouches. blithely pending pinto beans haggle slow, ironic braids. carefully pending accounts integrate slyly "
24,175,5318,62.15,lithely express deposits. slyly bold packages engage carefully final platelets. final accounts nag thinly above the slyly pending exc
25,26,9029,832.74,g the furiously final packages. furiously regular packages haggle fluffily? slyly unusual asymptotes across the furious
25,76,9062,928.96,counts cajole furiously against the furiously bold deposits. hockey playe
25,126,9946,694.35,ringly. bold pinto beans boost blithely blithely pending asymptotes. carefully final de
25,176,7340,746.59,osits. quickly express foxes run slyly against the busily pending sheaves. express
26,27,5020,683.96, carefully express sentiments cajole furiously close ideas. furiously even dolphins nod blithely: q
26,77,6577,892.20,e final deposits poach furiously according to the carefully unusual pains. even theodolites
26,127,3499,382.11,"ironic, even requests wake slyly. quickly regular platelets grow quickly regular escapades. silent, final packages wake never pending instructions. fu"
26,177,9702,821.89, slyly regular instructions are throughout the carefully final packages. slyly special accounts u
27,28,2111,444.01," have to haggle carefully pending accounts. bold, ironic packages haggle according to the special dependencies. carefully ironic accounts detect carefully. blithely express asymptotes boost care"
27,78,9080,157.03,"ironic instructions. ironic requests alongside of the special, final packages use blithely blithe, iron"
27,128,3407,151.34,"y even accounts. idly final escapades use blithely according to the carefully even attainments. silent warthogs according to the bold, even dugouts use furiously packages? bold instructions ab"
27,178,4283,348.61,regular asymptotes? requests use quickly final dependencies. furiously eve
28,29,6643,204.86,s. slyly special packages boost carefully. blithely final requests mold? carefully final accounts sleep s
28,79,2452,744.57,es cajole fluffily final accounts. quickly silent requests detect finally. quickly unusual packages along the furiously busy ideas are above the unusual packages. fluf
28,129,302,690.30,arefully final accounts. express deposits are. foxes mold carefully sl
28,179,9988,666.53,rls; furiously regular asymptotes are blithely pend
29,30,3506,799.27,blithely final pinto beans are thinly deposits. slyly unusual theodolites are furiously across the slyly ironic pi
29,80,8106,981.33,"sleep. regular, bold instructions nag about the slyly regular requests. slyly even grouches cajole blithely across the final, bold requests! deposits sleep caref"
29,130,9193,734.44,times ironic dependencies cajole. slyly unusual de
29,180,6252,186.21,"kages haggle slyly. regular theodolites are furiously along the blithely even deposits. furiously express deposits cajole. regular asymptotes wake special, "
30,31,4767,989.05,"ar, ironic dependencies. regular instructions detect furiously even deposits. final theodolites c"
30,81,535,743.26,cuses use. sly excuses engage slyly alongside of the furiou
30,131,7756,568.86,rly along the quickly regular accounts. carefully express dependencies about the final accounts sleep slyly after the slyly final packages. quick
30,181,7945,583.84,"quests haggle. pending sentiments use thinly on the ironic deposits. carefully final requests wake furiously even excuses. regular accounts along the packages run slyly since the pending, unusual "
31,32,9685,620.84,odolites do haggle furiously ideas. ironic theodolites haggle requests. even ex
31,82,1951,120.99, quick platelets haggle never about the carefully final courts. carefully express accounts maintain carefully. final requests cajole
31,132,1402,761.64,refully final pinto beans. slyly furious asymptotes wake furiousl
31,182,137,849.11,"ial, regular dependencies haggle carefully furiously ironic instructions. unusual pinto beans cajole quickly. "
32,33,2203,406.03,otes sleep around the stealthily silent pinto beans; regular requests haggle blithely dependencies. fu
32,83,467,109.34,"e daringly final packages. silent, special ideas x-ray quickly packages. ironic deposits wak"
32,133,7975,747.14, final packages wake furiously pending asymptotes. accounts cajole against the express packa
32,183,7938,856.09,to beans haggle blithely. furiously unusual deposits sleep carefully. e
33,34,4028,891.46,"ross the blithely special excuses. stealthy theodolites about the bold, silent asymptotes are furiously among the carefully regular deposits. furiously regular dinos wake carefully carefully "
33,84,4410,929.05, carefully unusual accounts are closely alongside of the foxes. carefully pending pearls affix blithely. slyly bold pinto beans wake fluffily. even pinto beans u
33,134,1287,310.76,"ep furiously regular deposits. special, regular accounts cajole ironic packages. foxes boost furious"
33,184,6006,327.19,"gedly regular packages. slyly regular packages among the even, bold requests affix slyly deposits. slyly final deposits "
34,35,9934,848.75,riously express requests. quickly special packages according to the furiously express depths are carefully across the furiously express a
34,85,4749,265.31,"y fluffy instructions. carefully final accounts play fluffily. special, regular packages a"
34,135,5459,824.69,pecial requests. regular deposits sleep furiously unusual instruct
34,185,5884,609.69,"gainst the express, pending instructions. carefully pending deposits alongside of the expre"
35,36,2500,451.58,osits. blithely even foxes detect quickly even packages. furiously spe
35,86,8875,537.72,slyly ironic requests hang about the quickly final dugouts. regular instructions after the carefully brave plate
